lemma	upos	sense_id	definition
Planckov čas	MWE	DDDS|Planckov čas|MWE|1	časovna enota
Planckova dolžina	MWE	DDDS|Planckova dolžina|MWE|1	fizikalna enota
Prva liga	MWE	DDDS|Prva liga|MWE|1	tretja angleška nogometna liga
RDF	NOUN	DDDS|RDF|NOUN|1	podatkovni format
RNK	NOUN	DDDS|RNK|NOUN|1	organska spojina
RSV	NOUN	DDDS|RSV|NOUN|1	virus
Ruska pravoslavna cerkev	MWE	DDDS|Ruska pravoslavna cerkev|MWE|1	organizacija
SMS	NOUN	DDDS|SMS|NOUN|1	tekstovno sporočilo
Schmidtova kamera	MWE	DDDS|Schmidtova kamera|MWE|1	astronomski daljnogled
Sen kresne noči	MWE	DDDS|Sen kresne noči|MWE|1	literarno delo
Splošna deklaracija človekovih pravic	MWE	DDDS|Splošna deklaracija človekovih pravic|MWE|1	dokument Združenih narodov
Svet ministrov	MWE	DDDS|Svet ministrov|MWE|1	upravni organ
Sveta dežela	MWE	DDDS|Sveta dežela|MWE|1	območje na Bližnjem Vzhodu
Sveto pismo	MWE	DDDS|Sveto pismo|MWE|1	sveta knjiga krščanstva
TB	NOUN	DDDS|TB|NOUN|1	kratica za tuberkulozo
TB	NOUN	DDDS|TB|NOUN|2	simbol za terabajt
Vandal	NOUN	DDDS|Vandal|NOUN|1	pripadnik germanskega ljudstva
Zahodna Evropa	MWE	DDDS|Zahodna Evropa|MWE|1	geografsko območje
Zemljin	ADJ	DDDS|Zemljin|ADJ|1	o planetu
abeceda	NOUN	DDDS|abeceda|NOUN|1	o pisavi
abeceda	NOUN	DDDS|abeceda|NOUN|2	osnovno znanje
aberacija	NOUN	DDDS|aberacija|NOUN|1	napaka leče
aberacija	NOUN	DDDS|aberacija|NOUN|2	o premiku zvezde
aberacija	NOUN	DDDS|aberacija|NOUN|3	odstopanje; nepravilnost
aberacija	NOUN	DDDS|aberacija|NOUN|4	lastnost, ki odstopa
absoluten	ADJ	DDDS|absoluten|ADJ|1	o številčnih vrednostih
absoluten	ADJ	DDDS|absoluten|ADJ|2	o poudarjanju pomena ali bistvenosti
absoluten	ADJ	DDDS|absoluten|ADJ|3	na tekmovanjih
absoluten	ADJ	DDDS|absoluten|ADJ|4	poudarjanje nespornosti česa ali zanesljivosti trditve
absoluten	ADJ	DDDS|absoluten|ADJ|5	o največji možni meri; popoln, vseobsegajoč
abstrakten	ADJ	DDDS|abstrakten|ADJ|1	nejasen; presplošen
abstrakten	ADJ	DDDS|abstrakten|ADJ|2	nematerialen; pojmoven
abstraktna algebra	MWE	DDDS|abstraktna algebra|MWE|1	matematična disciplina
aceton	NOUN	DDDS|aceton|NOUN|1	kemijska spojina
administracija	NOUN	DDDS|administracija|NOUN|1	upravljanje in organiziranje
administracija	NOUN	DDDS|administracija|NOUN|2	vlada
adrenalin	NOUN	DDDS|adrenalin|NOUN|1	hormon
adrenalin	NOUN	DDDS|adrenalin|NOUN|2	o stanju
agencija	NOUN	DDDS|agencija|NOUN|1	o podjetju, organizaciji
agencija	NOUN	DDDS|agencija|NOUN|2	o obveščanju, poročanju
agenda	NOUN	DDDS|agenda|NOUN|1	načrt dejavnosti
agenda	NOUN	DDDS|agenda|NOUN|2	motiv; namen
agilen	ADJ	DDDS|agilen|ADJ|1	o načinu vodenja
agilen	ADJ	DDDS|agilen|ADJ|2	o avtu
agilen	ADJ	DDDS|agilen|ADJ|3	o telesni lastnosti
agilen	ADJ	DDDS|agilen|ADJ|4	prizadeven; aktiven
agilna metoda	MWE	DDDS|agilna metoda|MWE|1	o načrtovanju dela
agraren	ADJ	DDDS|agraren|ADJ|1	poljedelski
agresiven	ADJ	DDDS|agresiven|ADJ|1	ki izkazuje drznost, hitrost
agresiven	ADJ	DDDS|agresiven|ADJ|2	ki se hitro širi, napreduje
agresiven	ADJ	DDDS|agresiven|ADJ|3	ki povzroča razjedo, poškodbo
agresiven	ADJ	DDDS|agresiven|ADJ|4	o človeku ali živali
agresiven	ADJ	DDDS|agresiven|ADJ|5	o obliki, izgledu
agresiven	ADJ	DDDS|agresiven|ADJ|6	o dejavnosti
agresiven	ADJ	DDDS|agresiven|ADJ|7	o igri
agresiven	ADJ	DDDS|agresiven|ADJ|8	o povečani aktivnosti
akademija	NOUN	DDDS|akademija|NOUN|1	zgradba
akademija	NOUN	DDDS|akademija|NOUN|2	visokošolska ustanova
akcija	NOUN	DDDS|akcija|NOUN|1	o znižani ceni
akcija	NOUN	DDDS|akcija|NOUN|2	o filmu
akcija	NOUN	DDDS|akcija|NOUN|3	o organizirani dejavnosti
akcija	NOUN	DDDS|akcija|NOUN|4	o delovanju, aktivnosti
akcija	NOUN	DDDS|akcija|NOUN|5	o športu
akcija	NOUN	DDDS|akcija|NOUN|6	o vojaški, policijski nalogi
aktiven	ADJ	DDDS|aktiven|ADJ|1	ki ni v fazi mirovanja
aktiven	ADJ	DDDS|aktiven|ADJ|2	o naravnem pojavu
aktiven	ADJ	DDDS|aktiven|ADJ|3	ki vključuje različne aktivnosti
aktiven	ADJ	DDDS|aktiven|ADJ|4	o prispevanju k dejavnosti
aktiven	ADJ	DDDS|aktiven|ADJ|5	usmerjen v izboljšanje
aktiven	ADJ	DDDS|aktiven|ADJ|6	ki se veliko giblje
aktiven	ADJ	DDDS|aktiven|ADJ|7	o napravi ali programu
aktiven	ADJ	DDDS|aktiven|ADJ|8	o snovi
aktiven	ADJ	DDDS|aktiven|ADJ|9	živahen; o povečani dejavnosti
aktiven	ADJ	DDDS|aktiven|ADJ|10	ki se poklicno ukvarja
aktiven	ADJ	DDDS|aktiven|ADJ|11	ko kaj delamo ali ne počivamo
aktivistka	NOUN	DDDS|aktivistka|NOUN|1	ženska, ki se zavzema za kaj
aktivno	ADV	DDDS|aktivno|ADV|1	o prakticiranju
aktivno	ADV	DDDS|aktivno|ADV|2	o fazi nemirovanja
aktivnost	NOUN	DDDS|aktivnost|NOUN|1	o telesnem gibanju
aktivnost	NOUN	DDDS|aktivnost|NOUN|2	o naravnem pojavu
aktivnost	NOUN	DDDS|aktivnost|NOUN|3	vključevanje različnih aktivnosti
aktivnost	NOUN	DDDS|aktivnost|NOUN|4	o prispevanju k dejavnosti
aktivnost	NOUN	DDDS|aktivnost|NOUN|5	o poklicnem ukvarjanju
aktivnost	NOUN	DDDS|aktivnost|NOUN|6	ko kaj delamo ali ne počivamo
aktivnost	NOUN	DDDS|aktivnost|NOUN|7	o povečani dejavnosti
aktualen	ADJ	DDDS|aktualen|ADJ|1	trenuten; najnovejši
aktualen	ADJ	DDDS|aktualen|ADJ|2	dejanski; pravi
akuten	ADJ	DDDS|akuten|ADJ|1	o bolezni
albanski	ADJ	DDDS|albanski|ADJ|1	o Albaniji in Albancih
albanski	ADJ	DDDS|albanski|ADJ|2	o jeziku
albendazol	NOUN	DDDS|albendazol|NOUN|1	zdravilo
album	NOUN	DDDS|album|NOUN|1	o fotografijah; o znamkah
album	NOUN	DDDS|album|NOUN|2	o glasbi
alergijski	ADJ	DDDS|alergijski|ADJ|1	o alergiji
algebra	NOUN	DDDS|algebra|NOUN|1	veda
algebrski	ADJ	DDDS|algebrski|ADJ|1	o algebri
alkalijska kovina	MWE	DDDS|alkalijska kovina|MWE|1	tip kemijskega elementa
alkohol	NOUN	DDDS|alkohol|NOUN|1	alkoholna pijača
alkohol	NOUN	DDDS|alkohol|NOUN|2	kemična spojina
alpinist	NOUN	DDDS|alpinist|NOUN|1	plezalec
alpski	ADJ	DDDS|alpski|ADJ|1	o Alpah
altruističen	ADJ	DDDS|altruističen|ADJ|1	o etični drži
aluminij	NOUN	DDDS|aluminij|NOUN|1	kovina
alžirski	ADJ	DDDS|alžirski|ADJ|1	o Alžiriji in Alžircih
amandma	NOUN	DDDS|amandma|NOUN|1	dopolnilo zakona
ambicija	NOUN	DDDS|ambicija|NOUN|1	želja po uspehu
ameriški dolar	MWE	DDDS|ameriški dolar|MWE|1	valuta
ameriški	ADJ	DDDS|ameriški|ADJ|1	o ZDA
amfetamin	NOUN	DDDS|amfetamin|NOUN|1	mamilo
aminokislina	NOUN	DDDS|aminokislina|NOUN|1	organska kislina
amonijak	NOUN	DDDS|amonijak|NOUN|1	plin
anafilaksa	NOUN	DDDS|anafilaksa|NOUN|1	alergijska reakcija
analgetik	NOUN	DDDS|analgetik|NOUN|1	zdravilo
analiza	NOUN	DDDS|analiza|NOUN|1	terapija
analiza	NOUN	DDDS|analiza|NOUN|2	v laboratoriju
analiza	NOUN	DDDS|analiza|NOUN|3	o elementih, strukturi, delovanju
analizirati	VERB	DDDS|analizirati|VERB|1	o psihoanalizi
analizirati	VERB	DDDS|analizirati|VERB|2	o elementih, strukturi, delovanju
anamneza	NOUN	DDDS|anamneza|NOUN|1	spominjanje
anamneza	NOUN	DDDS|anamneza|NOUN|2	zdravstvena zgodovina
anamneza	NOUN	DDDS|anamneza|NOUN|3	analiza pretekle dejavnosti
anarhist	NOUN	DDDS|anarhist|NOUN|1	o izgredih ali kršenju pravil
anarhist	NOUN	DDDS|anarhist|NOUN|2	privrženec anarhizma
angleški	ADJ	DDDS|angleški|ADJ|1	o Združenem kraljestvu in Britancih
angleški	ADJ	DDDS|angleški|ADJ|2	o jeziku
angleško	ADV	DDDS|angleško|ADV|1	o načinu ali stilu
angleško	ADV	DDDS|angleško|ADV|2	o jeziku
angleško	ADV	DDDS|angleško|ADV|3	o pečenju mesa
angleščina	NOUN	DDDS|angleščina|NOUN|1	angleški jezik
animacija	NOUN	DDDS|animacija|NOUN|1	vrsta filma
animacija	NOUN	DDDS|animacija|NOUN|2	o izdelku
animacija	NOUN	DDDS|animacija|NOUN|3	ustvarjanje animiranih podob
animacija	NOUN	DDDS|animacija|NOUN|4	o zabavanju ljudi
anime	NOUN	DDDS|anime|NOUN|1	japonska risanka
anonimen	ADJ	DDDS|anonimen|ADJ|1	ki zagotavlja skrito identiteto
anonimiziran	ADJ	DDDS|anonimiziran|ADJ|1	o prikritju identitete
antagonist	NOUN	DDDS|antagonist|NOUN|1	o snovi
antagonist	NOUN	DDDS|antagonist|NOUN|2	o mišici
antagonist	NOUN	DDDS|antagonist|NOUN|3	o liku
antagonist	NOUN	DDDS|antagonist|NOUN|4	nasprotnik; nasprotujoč dejavnik
antanta	NOUN	DDDS|antanta|NOUN|1	politična zveza držav
antanta	NOUN	DDDS|antanta|NOUN|2	mednarodna zveza
antibiotik	NOUN	DDDS|antibiotik|NOUN|1	zdravilo
antičen	ADJ	DDDS|antičen|ADJ|1	o zgodovinskem obdobju
antičen	ADJ	DDDS|antičen|ADJ|2	zelo star; zastarel
aplikacija	NOUN	DDDS|aplikacija|NOUN|1	vnos v telo
aplikacija	NOUN	DDDS|aplikacija|NOUN|2	računalniški program
april	NOUN	DDDS|april|NOUN|1	mesec v letu
aprila	ADV	DDDS|aprila|ADV|1	v mesecu aprilu
arabski	ADJ	DDDS|arabski|ADJ|1	o območju
arabščina	NOUN	DDDS|arabščina|NOUN|1	arabski jezik
aranžiranje	NOUN	DDDS|aranžiranje|NOUN|1	o priredbi skladbe
aranžiranje	NOUN	DDDS|aranžiranje|NOUN|2	o umetniški predstavitvi
aretacija	NOUN	DDDS|aretacija|NOUN|1	odvzem prostosti
aretirati	VERB	DDDS|aretirati|VERB|1	odvzeti prostost
aretirati	VERB	DDDS|aretirati|VERB|2	blokirati
argon	NOUN	DDDS|argon|NOUN|1	žlahtni plin
arhaik	NOUN	DDDS|arhaik|NOUN|1	geološka doba
arheološki	ADJ	DDDS|arheološki|ADJ|1	o arheologiji
arhitekt	NOUN	DDDS|arhitekt|NOUN|1	kdor načrtuje gradbene projekte
arhitekt	NOUN	DDDS|arhitekt|NOUN|2	snovalec; idejni vodja
arhitektura	NOUN	DDDS|arhitektura|NOUN|1	o gradnji stavb
arhitekturen	ADJ	DDDS|arhitekturen|ADJ|1	o načrtovanju objektov
arhitekturen	ADJ	DDDS|arhitekturen|ADJ|2	o strokovnjakih
arhiv	NOUN	DDDS|arhiv|NOUN|1	o hrambi datotek
aritmetičen	ADJ	DDDS|aritmetičen|ADJ|1	o računanju
arktičen	ADJ	DDDS|arktičen|ADJ|1	o severnem polarnem območju
arktičen	ADJ	DDDS|arktičen|ADJ|2	o vremenskem vplivu
arktični krog	MWE	DDDS|arktični krog|MWE|1	o navidezni črti na severni polobli
asimptotičen	ADJ	DDDS|asimptotičen|ADJ|1	o nenehni aktivnosti
asimptotičen	ADJ	DDDS|asimptotičen|ADJ|2	o krivulji
asistent	NOUN	DDDS|asistent|NOUN|1	podajalec
asistent	NOUN	DDDS|asistent|NOUN|2	pomočnik
asistent	NOUN	DDDS|asistent|NOUN|3	računalniški program
asistent	NOUN	DDDS|asistent|NOUN|4	na visokošolski ustanovi
aspiracijska pljučnica	MWE	DDDS|aspiracijska pljučnica|MWE|1	bolezensko stanje
aspiracijski	ADJ	DDDS|aspiracijski|ADJ|1	o ambicijah
aspiracijski	ADJ	DDDS|aspiracijski|ADJ|2	o dihanju
asteroid	NOUN	DDDS|asteroid|NOUN|1	majhen planet
asteroiden	ADJ	DDDS|asteroiden|ADJ|1	o raziskovanju
asteroiden	ADJ	DDDS|asteroiden|ADJ|2	o asteroidu
asteroidni pas	MWE	DDDS|asteroidni pas|MWE|1	o skupku asteroidov
astma	NOUN	DDDS|astma|NOUN|1	bolezen
astrofizika	NOUN	DDDS|astrofizika|NOUN|1	veda
astronavt	NOUN	DDDS|astronavt|NOUN|1	kdor gre v vesolje
astronom	NOUN	DDDS|astronom|NOUN|1	strokovnjak
astronomija	NOUN	DDDS|astronomija|NOUN|1	veda
astronomski	ADJ	DDDS|astronomski|ADJ|1	o opazovanju zvezd
astronomski	ADJ	DDDS|astronomski|ADJ|2	zelo visok
atenski	ADJ	DDDS|atenski|ADJ|1	o Atenah
atmosfera	NOUN	DDDS|atmosfera|NOUN|1	vzdušje
atmosfera	NOUN	DDDS|atmosfera|NOUN|2	enota za zračni tlak
atmosfera	NOUN	DDDS|atmosfera|NOUN|3	plast nebesnega telesa
atmosfera	NOUN	DDDS|atmosfera|NOUN|4	o nadzorovanem prostoru
atmosferska kemija	MWE	DDDS|atmosferska kemija|MWE|1	veja kemije
atmosferski	ADJ	DDDS|atmosferski|ADJ|1	o vzdušju
atmosferski	ADJ	DDDS|atmosferski|ADJ|2	o plasti planeta
atmosferski	ADJ	DDDS|atmosferski|ADJ|3	o napravi
atom	NOUN	DDDS|atom|NOUN|1	o majhni količini
atom	NOUN	DDDS|atom|NOUN|2	najmanjši delec snovi
atomska bomba	MWE	DDDS|atomska bomba|MWE|1	eksplozivno telo
atomski polmer	MWE	DDDS|atomski polmer|MWE|1	o velikosti atoma
atomski	ADJ	DDDS|atomski|ADJ|1	o atomski energiji
atomski	ADJ	DDDS|atomski|ADJ|2	o atomu
atomski	ADJ	DDDS|atomski|ADJ|3	o nadpovprečnosti
avgust	NOUN	DDDS|avgust|NOUN|1	mesec v letu
avgusta	ADV	DDDS|avgusta|ADV|1	v mesecu avgustu
avstralski dolar	MWE	DDDS|avstralski dolar|MWE|1	valuta
avstralski	ADJ	DDDS|avstralski|ADJ|1	o Avstraliji in Avstralcih
avstrijski	ADJ	DDDS|avstrijski|ADJ|1	o Avstriji in Avstrijcih
avtobiografija	NOUN	DDDS|avtobiografija|NOUN|1	lastni življenjepis
avtobus	NOUN	DDDS|avtobus|NOUN|1	prevozno sredstvo
avtomatizacija	NOUN	DDDS|avtomatizacija|NOUN|1	o strojni izvedbi
avtomatizacija	NOUN	DDDS|avtomatizacija|NOUN|2	stroji
avtomatizacija	NOUN	DDDS|avtomatizacija|NOUN|3	o rutinirani izvedbi
avtomobil	NOUN	DDDS|avtomobil|NOUN|1	prevozno sredstvo
avtomobilski	ADJ	DDDS|avtomobilski|ADJ|1	o avtomobilih
avtor	NOUN	DDDS|avtor|NOUN|1	pisatelj; pisec
avtor	NOUN	DDDS|avtor|NOUN|2	kdor kaj izdela, izumi
azijski	ADJ	DDDS|azijski|ADJ|1	o celini
bakren	ADJ	DDDS|bakren|ADJ|1	izdelan iz bakra
bakterija	NOUN	DDDS|bakterija|NOUN|1	mikroorganizem
bakterijska pljučnica	MWE	DDDS|bakterijska pljučnica|MWE|1	bolezensko stanje
bakterijski	ADJ	DDDS|bakterijski|ADJ|1	o bakterijah
bakteriofag	NOUN	DDDS|bakteriofag|NOUN|1	vrsta virusa
bakteriološki	ADJ	DDDS|bakteriološki|ADJ|1	o bakterijah
balada	NOUN	DDDS|balada|NOUN|1	o poeziji
balada	NOUN	DDDS|balada|NOUN|2	o glasbi
baltski jeziki	MWE	DDDS|baltski jeziki|MWE|1	jezikovna skupina
baltski	ADJ	DDDS|baltski|ADJ|1	o ljudstvu
baltski	ADJ	DDDS|baltski|ADJ|2	o območju
banka	NOUN	DDDS|banka|NOUN|1	pri družabnih igrah
banka	NOUN	DDDS|banka|NOUN|2	finančna ustanova
bankovec	NOUN	DDDS|bankovec|NOUN|1	papirnati denar
bankrot	NOUN	DDDS|bankrot|NOUN|1	finančno stanje
bankrot	NOUN	DDDS|bankrot|NOUN|2	propad
barbar	NOUN	DDDS|barbar|NOUN|1	o surovem obnašanju
barbar	NOUN	DDDS|barbar|NOUN|2	pripadnik neciviliziranega ljudstva
barieren	ADJ	DDDS|barieren|ADJ|1	o zaščiti
barieren	ADJ	DDDS|barieren|ADJ|2	o pregradi ali oviri
baron	NOUN	DDDS|baron|NOUN|1	mogotec
baron	NOUN	DDDS|baron|NOUN|2	plemiški naziv
baročen	ADJ	DDDS|baročen|ADJ|1	o umetnostnem obdobju
baročen	ADJ	DDDS|baročen|ADJ|2	obilen; bujen
barva	NOUN	DDDS|barva|NOUN|1	simbol
barva	NOUN	DDDS|barva|NOUN|2	konkretna lastnost
barva	NOUN	DDDS|barva|NOUN|3	o značaju česa
barva	NOUN	DDDS|barva|NOUN|4	zaznavna lastnost
barva	NOUN	DDDS|barva|NOUN|5	o obrazu
bati se	MWE	DDDS|bati se|MWE|1	biti v skrbeh za koga ali glede česa
bati se	MWE	DDDS|bati se|MWE|2	ne marati, izogibati
bati se	MWE	DDDS|bati se|MWE|3	o strahu
bati se	MWE	DDDS|bati se|MWE|4	o pogumu
bavarski	ADJ	DDDS|bavarski|ADJ|1	o Bavarski in Bavarcih
baza	NOUN	DDDS|baza|NOUN|1	kemijska snov
baza	NOUN	DDDS|baza|NOUN|2	oporišče; postojanka
baza	NOUN	DDDS|baza|NOUN|3	pri baseballu
bedak	NOUN	DDDS|bedak|NOUN|1	neumen človek
bel	ADJ	DDDS|bel|ADJ|1	o hrani
bel	ADJ	DDDS|bel|ADJ|2	o snegu
bel	ADJ	DDDS|bel|ADJ|3	o rasi
bel	ADJ	DDDS|bel|ADJ|4	o šahu
bel	ADJ	DDDS|bel|ADJ|5	o barvi
bela krvna celica	MWE	DDDS|bela krvna celica|MWE|1	vrsta celice
belgijski	ADJ	DDDS|belgijski|ADJ|1	o Belgiji in Belgijcih
beljakovina	NOUN	DDDS|beljakovina|NOUN|1	organska snov
benediktinski	ADJ	DDDS|benediktinski|ADJ|1	o samostanskem redu
beneški	ADJ	DDDS|beneški|ADJ|1	o italijanskem mestu
benzen	NOUN	DDDS|benzen|NOUN|1	organska spojina
berilij	NOUN	DDDS|berilij|NOUN|1	kemijski element
berilijev	ADJ	DDDS|berilijev|ADJ|1	o snovi
beseda	NOUN	DDDS|beseda|NOUN|1	jezik skupnosti
beseda	NOUN	DDDS|beseda|NOUN|2	o umetniškem izražanju
beseda	NOUN	DDDS|beseda|NOUN|3	vloga pri odločanju
beseda	NOUN	DDDS|beseda|NOUN|4	govorjenje
beseda	NOUN	DDDS|beseda|NOUN|5	pogovor, debata
beseda	NOUN	DDDS|beseda|NOUN|6	izražena misel
beseda	NOUN	DDDS|beseda|NOUN|7	obljuba
beseda	NOUN	DDDS|beseda|NOUN|8	NEDOLOČENO
beseda	NOUN	DDDS|beseda|NOUN|9	jezikovna enota s pomenom
beseden	ADJ	DDDS|beseden|ADJ|1	o jezikovni enoti s pomenom
besedilo	NOUN	DDDS|besedilo|NOUN|1	v gledališču ali filmu
besedilo	NOUN	DDDS|besedilo|NOUN|2	pri glasbenih delih
besedilo	NOUN	DDDS|besedilo|NOUN|3	o celotnem delu
besedilo	NOUN	DDDS|besedilo|NOUN|4	besedni sestavek
besednjak	NOUN	DDDS|besednjak|NOUN|1	nabor besed
besednjak	NOUN	DDDS|besednjak|NOUN|2	področno besedišče
besednjak	NOUN	DDDS|besednjak|NOUN|3	v računalništvu
besednjak	NOUN	DDDS|besednjak|NOUN|4	o neverbalni komunikaciji
besednjak	NOUN	DDDS|besednjak|NOUN|5	slovar
bezgavka	NOUN	DDDS|bezgavka|NOUN|1	del telesa
biblija	NOUN	DDDS|biblija|NOUN|1	verska knjiga
bik	NOUN	DDDS|bik|NOUN|1	žival
biodizel	NOUN	DDDS|biodizel|NOUN|1	gorivo
biogeokemijski	ADJ	DDDS|biogeokemijski|ADJ|1	o procesu
biograf	NOUN	DDDS|biograf|NOUN|1	avtor biografij
biokemija	NOUN	DDDS|biokemija|NOUN|1	veda
biologija	NOUN	DDDS|biologija|NOUN|1	veda
biološki	ADJ	DDDS|biološki|ADJ|1	o sorodniku
biološki	ADJ	DDDS|biološki|ADJ|2	o odpadkih
biološki	ADJ	DDDS|biološki|ADJ|3	o načinu pridelave
biološki	ADJ	DDDS|biološki|ADJ|4	o živih organizmih
biološki	ADJ	DDDS|biološki|ADJ|5	o preučevanju živih bitij
biosfera	NOUN	DDDS|biosfera|NOUN|1	območje življenja na Zemlji
bistven	ADJ	DDDS|bistven|ADJ|1	nujno potreben; pomemben
bistven	ADJ	DDDS|bistven|ADJ|2	opazen; večji
biten	ADJ	DDDS|biten|ADJ|1	o digitalni enoti
biten	ADJ	DDDS|biten|ADJ|2	o bistvu česa
biti cepljen na kaj	MWE	DDDS|biti cepljen na kaj|MWE|1	oboževati kaj
biti cepljen proti čemu	MWE	DDDS|biti cepljen proti čemu|MWE|1	o nasprotovanju
biti cepljen proti čemu	MWE	DDDS|biti cepljen proti čemu|MWE|2	neobčutljiv, odporen
biti	VERB	DDDS|biti|VERB|1	o obstoju; o dejstvu
biti	VERB	DDDS|biti|VERB|2	o navzočnosti v prostoru in času
biti	VERB	DDDS|biti|VERB|3	o uresničitvi dejanja
biti	VERB	DDDS|biti|VERB|4	o lastnosti ali stanju
bitka	NOUN	DDDS|bitka|NOUN|1	vojaški spopad
bivanje	NOUN	DDDS|bivanje|NOUN|1	živeti kje
bivanje	NOUN	DDDS|bivanje|NOUN|2	biti nastanjen
bivanje	NOUN	DDDS|bivanje|NOUN|3	aktivnost v šoli
bivši	ADJ	DDDS|bivši|ADJ|1	o preteklem statusu osebe
bivši	ADJ	DDDS|bivši|ADJ|2	kar ne obstaja več
bizmut	NOUN	DDDS|bizmut|NOUN|1	kemijski element
bizmutov subsalicilat	MWE	DDDS|bizmutov subsalicilat|MWE|1	zdravilo
blag	ADJ	DDDS|blag|ADJ|1	prijeten
blag	ADJ	DDDS|blag|ADJ|2	o šibkejški obliki
blag	ADJ	DDDS|blag|ADJ|3	dobrohoten
blaginja	NOUN	DDDS|blaginja|NOUN|1	stanje izobilja in zadovoljstva
