lemma	upos	sense_id	definition
активирам се	MWE	6078f0e081aae24f7f6e72d9@aktiviram_se-verb-1	Ставам деен, активен.
активирам се	MWE	6078f0e081aae24f7f6e72d9@aktiviram_se-verb-2	Започвам да се развивам по-усилено, по-бързо.
активиране	NOUN	61c25b185916e9c201c4c0a3@aktivirane-noun-1	Засилване, по-бързо, по-ускорено развитие.
активистка	NOUN	6078f0e081aae24f7f6e72dc@aktivistka-noun-1	Жена активист.
активност	NOUN	6078f0e081aae24f7f6e72de@aktivnost-noun-1	Качество или проява на активен.
актуален	ADJ	6078f0e081aae24f7f6e72e0@aktualen-adj-1	Съвременен, навременен, наложителен.
актьор	NOUN	6078f0e081aae24f7f6e72e2@aktyor-noun-1	Изпълнител на роля в театрално представление.
акула	NOUN	61b917b8e5ae474692c4c0bc@akula-noun-1	Голяма хищна морска риба.
акцент	NOUN	6078f0e081aae24f7f6e72ef@aktsent-noun-1	Ударение.
акцент	NOUN	6078f0e081aae24f7f6e72ef@aktsent-noun-2	Особеното произношение на лице, което говори друг език или диалект.
акция	NOUN	6078f0e081aae24f7f6e72f8@aktsiya-noun-1	Действие, обикн. в широк мащаб, с предначертана цел.
акция	NOUN	6078f0e081aae24f7f6e72f8@aktsiya-noun-2	Документ за дялов капитал, който се внася от участник в акционерно дружество и носи печалба на притежателя.
албански	ADJ	6078f0e081aae24f7f6e7305@albanski-adj-1	Който се отнася до Албания и до албанец.
албендазол	NOUN	61c25b185916e9c201c4c0a4@albendazol-noun-1	Вид лекарство.
албум	NOUN	61b917b8e5ae474692c4c0be@album-noun-1	Книга или тетрадка за сбирка от фотографии, илюстровани картички, пощенски марки и под.
албум	NOUN	61b917b8e5ae474692c4c0be@album-noun-2	Красиво подвързана книга с празни листове за автографи, стихове, рисунки и под.
албум	NOUN	61b917b8e5ae474692c4c0be@album-noun-3	Сбирка с музикални изпълнения.
албум	NOUN	61b917b8e5ae474692c4c0be@album-noun-4	Сбирка с музикални произведения.
албум	NOUN	61b917b8e5ae474692c4c0be@album-noun-5	Сбирка с музикални изпълнения.
алгебра	NOUN	6078f0e081aae24f7f6e730c@algebra-noun-1	Само ед. Дял от математиката, в който се изучават общите закони на действията с величини, независимо от тяхното числено значение.
алгебра	NOUN	6078f0e081aae24f7f6e730c@algebra-noun-2	Учебен предмет.
алгебра	NOUN	6078f0e081aae24f7f6e730c@algebra-noun-3	Учебник по алгебра.
алгебричен	ADJ	6078f0e081aae24f7f6e730d@algebrichen-adj-1	Който се отнася до алгебра.
алергичен	ADJ	6078f0e081aae24f7f6e731b@alergichen-adj-1	Който страда от алергия.
алергичен	ADJ	6078f0e081aae24f7f6e731b@alergichen-adj-2	Който е свързан с алергия.
алжирски	ADJ	6078f0e081aae24f7f6e731f@alzhirski-adj-1	Който се отнася до Алжир и до алжирец.
алкален	ADJ	6078f0e081aae24f7f6e7326@alkalen-adj-1	Който съдържа основа; основен.
алкалоземен	ADJ	6078f0e081aae24f7f6e7327@alkalozemen-adj-1	в съчет.:
алкалоземен	ADJ	6078f0e081aae24f7f6e7327@alkalozemen-adj-2	За химически елемент (калций, стронций, барий и радий), чиито окиси във воден разтвор имат алкално действие.
алкохол	NOUN	6078f0e081aae24f7f6e732a@alkohol-noun-1	Спирт.
алкохол	NOUN	6078f0e081aae24f7f6e732a@alkohol-noun-2	Спиртни напитки.
алтернатива	NOUN	6078f0e081aae24f7f6e733e@alternativa-noun-1	Избор на едно от две единствено възможни решения, които взаимно се изключват.
алтруистичен	ADJ	6078f0e081aae24f7f6e7345@altruistichen-adj-1	Който се отнася до алтруизъм.
алуминий	NOUN	61c25b185916e9c201c4c0a5@aluminiy-noun-1	Химически елемент - сребристобял, лек, ковък метал.
амбиция	NOUN	6078f0e081aae24f7f6e7367@ambitsiya-noun-1	Силно желание, стремеж към постигане на нещо.
амбиция	NOUN	6078f0e081aae24f7f6e7367@ambitsiya-noun-2	Силно изострено честолюбие.
американец	NOUN	6078f0e081aae24f7f6e7371@amerikanets-noun-1	Лице от населението на Съединените американски щати.
американец	NOUN	6078f0e081aae24f7f6e7371@amerikanets-noun-2	Жител на Америка.
американски	ADJ	6078f0e081aae24f7f6e7375@amerikanski-adj-1	Който се отнася до Америка и до американец.
аминокиселина	NOUN	6078f0e081aae24f7f6e737b@aminokiselina-noun-1	Органична киселина, която съдържа в молекулата си аминогрупа, заема централно място в азотния обмен на живите организми и представлява източник за образуването на необходимите за жизнената дейност вещества — белтъци, ферменти, хормони и др.
амоняк	NOUN	6078f0e081aae24f7f6e7383@amonyak-noun-1	Съединение на азот с водород — безцветен газ с остър дъх.
амоняк	NOUN	6078f0e081aae24f7f6e7383@amonyak-noun-2	Амониев хидрат.
амфетамин	NOUN	6078f0e081aae24f7f6e7396@amfetamin-noun-1	Химическо вещество от групата на амините, което действа като стимулатор на централната нервна система и се използва като лекарство и като наркотик.
аналгетик	NOUN	6078f0e081aae24f7f6e73a0@analgetik-noun-1	(сл. ч.)
аналгетик	NOUN	6078f0e081aae24f7f6e73a0@analgetik-noun-2	Лекарствено средство, което отслабва или отстранява болка.
анализ	NOUN	6078f0e081aae24f7f6e73a1@analiz-noun-1	Способ, метод за изследване чрез разлагане на цялото на съставните му елементи.
анализ	NOUN	6078f0e081aae24f7f6e73a1@analiz-noun-2	синтез.
анализ	NOUN	6078f0e081aae24f7f6e73a1@analiz-noun-3	Разлагане на известни вещества, за да се установи качеството и количеството на съставните им елементи.
анализ	NOUN	6078f0e081aae24f7f6e73a1@analiz-noun-4	Определяне състава на вещество или вълна.
анализ	NOUN	6078f0e081aae24f7f6e73a1@analiz-noun-5	Разбор на текст.
анализирам	VERB	6078f0e081aae24f7f6e73a3@analiziram-verb-1	Правя анализ, разлагам на съставните части; изследвам, разглеждам.
анализирам	VERB	6078f0e081aae24f7f6e73a3@analiziram-verb-2	Π. П. Славейков.
анамнеза	NOUN	6078f0e081aae24f7f6e73ab@anamneza-noun-1	Сведения за живота и състоянието на болния преди и по време на заболяването.
анархист	NOUN	6078f0e081aae24f7f6e73af@anarhist-noun-1	Привърженик на анархизма, член на анархистична организация.
анархист	NOUN	6078f0e081aae24f7f6e73af@anarhist-noun-2	Лице, което не се подчинява на власт, ред и дисциплина; своеволник.
анафилаксия	NOUN	61c25b185916e9c201c4c0a6@anafilaksiya-noun-1	Вид заболяване - тежка алергична реакция.
ангажимент	NOUN	6078f0e081aae24f7f6e73ca@angazhiment-noun-1	Поемане на задължение.
ангажимент	NOUN	6078f0e081aae24f7f6e73ca@angazhiment-noun-2	Времетраене на поето задължение; договор.
ангажимент	NOUN	6078f0e081aae24f7f6e73ca@angazhiment-noun-3	Поето задължение за извършване на нещо.
ангажирам се	MWE	6078f0e081aae24f7f6e73cc@angazhiram_se-verb-1	Поемам задължение, заемам се.
английски	ADJ	61c25b185916e9c201c4c0a7@angliyski-adj-1	Който се отнася до Англия или до англичанин.
английски	ADJ	61c25b185916e9c201c4c0a7@angliyski-adj-2	X+ Който се отнася до англичанин или до Англия.
английски	ADJ	61c25b185916e9c201c4c0a7@angliyski-adj-3	Който се отнася до Англия или до англичанин.
английски	NOUN	61c25b185916e9c201c4c0a8@angliyski-noun-1	Английски език.
англо-шведски	ADJ	61c25b185916e9c201c4c0a9@angloshvedski-adj-1	Който се отнася до Англия и Швеция.
анексиране	NOUN	6078f0e081aae24f7f6e73e9@aneksirane-noun-1	Отгл. същ. от анексирам.
анексия	NOUN	6078f0e081aae24f7f6e73ea@aneksiya-noun-1	Насилствено присъединяване на територия или част от територия от една държава към друга.
анимационен	ADJ	6078f0e081aae24f7f6e73f1@animatsionen-adj-1	Който се отнася до анимация.
аномалия	NOUN	6078f0e081aae24f7f6e73fd@anomaliya-noun-1	Отклонение от закономерността на явленията, от обичайните правила, от установения ред; неправилност.
анонимен	ADJ	6078f0e081aae24f7f6e73fe@anonimen-adj-1	Неподписан, безименен.
анонимизирана	ADJ	61c25b185916e9c201c4c0aa@anonimizirana-adj-1	Който е направен анонимен.
антибиотик	NOUN	6078f0e081aae24f7f6e740c@antibiotik-noun-1	Лекарство, получено от някои микроорганизми — низши гъбички, плесени и бактерии, което има свойството да убива микроби или да спира тяхното развитие.
антивирусен	ADJ	61c25b185916e9c201c4c0ab@antivirusen-adj-1	Който се отнася до антивирус.
антитяло	NOUN	6078f0e081aae24f7f6e7422@antityalo-noun-1	Вещество от белтъчен произход, което се образува в организма при вкарването в него на антигени и от специфичното взаймодействие с тях се превръща в основен имунен фактор при повторно нахлули антигени и неутрализира вредното им въздействие.
античен	ADJ	6078f0e081aae24f7f6e7427@antichen-adj-1	Старогръцки или римски; древен, стар.
античен	ADJ	6078f0e081aae24f7f6e7427@antichen-adj-2	За човешко тяло и лице — красив и правилен като старогръцка или римска статуя.
апарат	NOUN	6078f0e081aae24f7f6e7442@aparat-noun-1	Сложен уред за извършване на определена работа.
апарат	NOUN	6078f0e081aae24f7f6e7442@aparat-noun-2	Част от машина за определена работа.
апарат	NOUN	6078f0e081aae24f7f6e7442@aparat-noun-3	Група органи с обща функция в организма.
апарат	NOUN	6078f0e081aae24f7f6e7442@aparat-noun-4	Лица и учреждения, обединени за определена дейност.
април	NOUN	6078f0e081aae24f7f6e747d@april-noun-1	Четвъртият месец от календарната година.
арабски	ADJ	6078f0e081aae24f7f6e748c@arabski-adj-1	Който се отнася до Арабия и дот арабин.
арабски	NOUN	6078f0e081aae24f7f6e748d@arabski-noun-1	арабски език.
арабски	NOUN	61c25b185916e9c201c4c0ac@arabski-noun-1	Арабски език.
аргон	NOUN	61c25b185916e9c201c4c0ad@argon-noun-1	Химически елемент Аr — инертен газ без цвят и миризма, който се съдържа във въздуха и се използва за създаване на специална газова среда в електрическата крушка, за пълнене на електролуминисцентни тръби и др.
аргумент	NOUN	6078f0e081aae24f7f6e7498@argument-noun-1	Основание, довод в подкрепа на дадено твърдение; доказателство.
арест	NOUN	6078f0e081aae24f7f6e74a1@arest-noun-1	Задържане под стража.
арест	NOUN	6078f0e081aae24f7f6e74a1@arest-noun-2	Място, където затварят задържани; затвор.
арестувам	VERB	61b917b8e5ae474692c4c0ca@arestuvam-verb-1	Задържам под стража, поставям в затвор.
аритметичен	ADJ	6078f0e081aae24f7f6e74b7@aritmetichen-adj-1	Който се отнася до аритметика.
арка	NOUN	6078f0e081aae24f7f6e74bb@arka-noun-1	Дъговидна извивка над врата и под.; свод.
арка	NOUN	6078f0e081aae24f7f6e74bb@arka-noun-2	Голяма сводеста врата за посрещане на гости, победители и др.
армейски	ADJ	61c25b185916e9c201c4c0ae@armeyski-adj-1	Който се отнася до армия или армеец или е свързан с армия или армеец.
армия	NOUN	6078f0e081aae24f7f6e74cd@armiya-noun-1	Всички въоръжени сили на една държава; войска.
армия	NOUN	6078f0e081aae24f7f6e74cd@armiya-noun-2	Войсково обединение от няколко корпуса или дивизии за водене на военни действия.
армия	NOUN	6078f0e081aae24f7f6e74cd@armiya-noun-3	Множество лица, свързани с общи интереси и възгледи.
артилерийски	ADJ	61c25b185916e9c201c4c0af@artileriyski-adj-1	Който се отнася до артилерия и до артилерист.
артилерия	NOUN	6078f0e081aae24f7f6e74f0@artileriya-noun-1	Род войска, която действа с тежки огнестрелни оръжия.
артилерия	NOUN	6078f0e081aae24f7f6e74f0@artileriya-noun-2	Огнестрелни оръдия с принадлежностите им.
артист	NOUN	6078f0e081aae24f7f6e74f2@artist-noun-1	Изпълнител на роля в оперно или драматично произведение и на номера в цирк.
артист	NOUN	6078f0e081aae24f7f6e74f2@artist-noun-2	Майстор в някое изкуство.
артистичен	ADJ	6078f0e081aae24f7f6e74f3@artistichen-adj-1	Художествен.
археологически	ADJ	6078f0e081aae24f7f6e7507@arheologicheski-adj-1	Който се отнася до археология.
архиепископия	NOUN	6078f0e081aae24f7f6e7514@arhiepiskopiya-noun-1	Църковна област на чело с архиепископ.
архитект	NOUN	6078f0e081aae24f7f6e751c@arhitekt-noun-1	Специалист по архитектура.
архитектура	NOUN	61b917b8e5ae474692c4c0d2@arhitektura-noun-1	Изкуство за проектиране, изграждане и художествено оформяне на сгради; строително изкуство.
архитектура	NOUN	61b917b8e5ae474692c4c0d2@arhitektura-noun-2	Стил на постройка.
архитектурен	ADJ	61b917b8e5ae474692c4c0d3@arhitekturen-adj-1	Който се отнася до архитектура.
асамблея	NOUN	6078f0e081aae24f7f6e7525@asambleya-noun-1	Представително общо събрание на международна организация.
асамблея	NOUN	6078f0e081aae24f7f6e7525@asambleya-noun-2	Събиране на много лица за опознаване или за участие в културни или спортни прояви.
асансьор	NOUN	6078f0e081aae24f7f6e7526@asansyor-noun-1	Подемна машина за автоматично издигане и сваляне на лица и предмети, обикн. във висока сграда.
асимптотичните	ADJ	61c25b185916e9c201c4c0b0@asimptotichnite-adj-1	Който се отнася до асимптота.
асистент	NOUN	6078f0e081aae24f7f6e7534@asistent-noun-1	Лице в помощ на професор или лекар при неговата работа; помощник.
асоциативен	ADJ	6078f0e081aae24f7f6e7544@asotsiativen-adj-1	Който се отнася до асоциация.
асоциация	NOUN	6078f0e081aae24f7f6e7546@asotsiatsiya-noun-1	Свързване на представи, при което появата на една от тях извиква друга.
асоциация	NOUN	6078f0e081aae24f7f6e7546@asotsiatsiya-noun-2	Сдружение, дружество на лица с еднаква област на дейност или еднакви интереси цели.
асоциация	NOUN	6078f0e081aae24f7f6e7546@asotsiatsiya-noun-3	Връзка, свързване.
асоциирам	VERB	6078f0e081aae24f7f6e7547@asotsiiram-verb-1	Свързвам по асоциация.
аспект	NOUN	6078f0e081aae24f7f6e7549@aspekt-noun-1	Вид, изглед на нещата и явленията.
аспект	NOUN	6078f0e081aae24f7f6e7549@aspekt-noun-2	Насока, страна или изходно начало, с оглед на които се възприемат или разглеждат нещата, явленията.
аспирационна	ADJ	61c25b185916e9c201c4c0b1@aspiratsionna-adj-1	Който се отнася до аспирация2.
астероид	NOUN	6078f0e081aae24f7f6e7554@asteroid-noun-1	Малка планета от Слънчевата система, която се движи предимно между орбитите на Марс и Юпитер.
астероиден	ADJ	6078f0e081aae24f7f6e7555@asteroiden-adj-1	Който се отнася до астероид.
астма	NOUN	6078f0e081aae24f7f6e7556@astma-noun-1	Болест с пристъпи на задушаване при сърдечно и нервно заболяване; задух.
астронавт	NOUN	6078f0e081aae24f7f6e755f@astronavt-noun-1	Лице, което изпълнява космически полет.
астроном	NOUN	6078f0e081aae24f7f6e7560@astronom-noun-1	Учен, специалист по астрономия.
астрономически	ADJ	6078f0e081aae24f7f6e7562@astronomicheski-adj-1	Който се отнася до астрономия.
астрономически	ADJ	6078f0e081aae24f7f6e7562@astronomicheski-adj-2	За цифра — извънредно голям.
астрономия	NOUN	6078f0e081aae24f7f6e7563@astronomiya-noun-1	Наука за небесните тела.
астрофизика	NOUN	6078f0e081aae24f7f6e7564@astrofizika-noun-1	Дял от астрономията, който изучава физическите явления и химическите процеси, които стават в небесните тела и в космическото пространство.
астрофотографски	ADJ	61c25b185916e9c201c4c0b2@astrofotografski-adj-1	Който се отнася до астрономическа фотография.
атака	NOUN	6078f0e081aae24f7f6e7572@ataka-noun-1	Стремително нападение срещу противник; щурм.
атака	NOUN	6078f0e081aae24f7f6e7572@ataka-noun-2	Силно обвинение, нападка.
атака	NOUN	6078f0e081aae24f7f6e7572@ataka-noun-3	Внезапен, силен пристъп на болест.
атакувам	VERB	61b917b8e5ae474692c4c0d7@atakuvam-verb-1	Предприемам атака; нападам стремително.
атакувам	VERB	61b917b8e5ae474692c4c0d7@atakuvam-verb-2	Нападам с думи; обвинявам.
атеизъм	NOUN	6078f0e081aae24f7f6e757a@ateizam-noun-1	Отричане съществуването на бог; безбожие.
атински	ADJ	61c25b185916e9c201c4c0b3@atinski-adj-1	Който се отнася до Атина — древногръцки град държава (полис).
атински	ADJ	61c25b185916e9c201c4c0b3@atinski-adj-2	Който се отнася до Атина — древногръцки град държава (полис).
атмосфера	NOUN	6078f0e081aae24f7f6e7591@atmosfera-noun-1	Само ед. Въздушната обвивка на земята.
атмосфера	NOUN	6078f0e081aae24f7f6e7591@atmosfera-noun-2	Газообразна обвивка около Слънцето, някои планети и други небесни тела.
атмосфера	NOUN	6078f0e081aae24f7f6e7591@atmosfera-noun-3	Настроение в дадена среда.
атмосфера	NOUN	6078f0e081aae24f7f6e7591@atmosfera-noun-4	Единица за измерване налягането на газообразни тела.
атмосферен	ADJ	6078f0e081aae24f7f6e7592@atmosferen-adj-1	Който се отнася до атмосфера.
атом	NOUN	6078f0e081aae24f7f6e7593@atom-noun-1	Най-малката частица от химически елемент, която може да влиза в химически съединения.
атомен	ADJ	6078f0e081aae24f7f6e7594@atomen-adj-1	Който се отнася до атом.
африкански	ADJ	6078f0e081aae24f7f6e75bd@afrikanski-adj-1	Който се отнася до Африка и до африканец.
ацетон	NOUN	6078f0e081aae24f7f6e75d2@atseton-noun-1	Лека безцветна течност, със специфичен дъх, която служи за разтваряне на мазнини, смола, каучук и др.
баварски	ADJ	6078f0e081aae24f7f6e75eb@bavarski-adj-1	Който се отнася до Бавария (област в Германия).
бавен	ADJ	6078f0e081aae24f7f6e75ee@baven-adj-1	Който се движи или се извършва полека, в продължително време.
бавен	ADJ	6078f0e081aae24f7f6e75ee@baven-adj-2	бърз.
бавен	ADJ	6078f0e081aae24f7f6e75ee@baven-adj-3	Който действа полека; муден.
бавно	ADV	6078f0e081aae24f7f6e75f0@bavno-adv-1	Нареч. от бавен.
бавно	ADV	6078f0e081aae24f7f6e75f0@bavno-adv-2	Полека, в продължително време.
база	NOUN	6078f0e081aae24f7f6e7609@baza-noun-1	Обикн.
база	NOUN	6078f0e081aae24f7f6e7609@baza-noun-2	Основа, опора.
база	NOUN	6078f0e081aae24f7f6e7609@baza-noun-3	Икономическият строй на обществото в даден етап от неговото развитие.
база	NOUN	6078f0e081aae24f7f6e7609@baza-noun-4	Място, където са съсредоточени военни сили, запаси и съоръжения.
база	NOUN	6078f0e081aae24f7f6e7609@baza-noun-5	Място, където са съсредоточени клонове от индустрията, търговията и пр.
база	NOUN	6078f0e081aae24f7f6e7609@baza-noun-6	Основна наличност на материали като източник за снабдяване и производство.
базилика	NOUN	6078f0e081aae24f7f6e760d@bazilika-noun-1	Антична или средновековна сграда, обикн. църковна, във вид на продълговат четириъгълник.
базирам	VERB	6078f0e081aae24f7f6e760e@baziram-verb-1	Поставям върху основа, основавам на нещо.
базирам	VERB	6078f0e081aae24f7f6e760e@baziram-verb-2	X+ Който се базира, основава на нещо.
бакалавър	NOUN	6078f0e081aae24f7f6e762b@bakalavar-noun-1	Лице, получило най-ниската университетска степен.
бактериален	ADJ	6078f0e081aae24f7f6e7636@bakterialen-adj-1	Който се отнася до бактерия, причинен е от бактерия.
бактериологичен	ADJ	6078f0e081aae24f7f6e7639@bakteriologichen-adj-1	Който се отнася до бактериолог и до бактериология.
бактерия	NOUN	6078f0e081aae24f7f6e763c@bakteriya-noun-1	Микроскопичен едноклетъчен организъм, по форма сферичен (кок), пръчковиден (бацил) или нишковиден (спирала), причинител на ферментация и гниене или на заболяване на растителните и животинските организми; микроб.
банка	NOUN	6078f0e081aae24f7f6e7692@banka-noun-1	Кредитно учреждение, което разполага с парични средства и извършва различни финансови операции.
банка	NOUN	6078f0e081aae24f7f6e7692@banka-noun-2	При някои хазартни игри — сумата, с която един играч отговаря срещу сумите, заложени от другите играчи.
банка	NOUN	6078f0e081aae24f7f6e7692@banka-noun-3	Обикн.
банка	NOUN	6078f0e081aae24f7f6e7692@banka-noun-4	специални чинове за сядане на депутатите в парламентарна зала.
банка	NOUN	6078f0e081aae24f7f6e7692@banka-noun-5	Съвкупност от нещо.
банкнота	NOUN	6078f0e081aae24f7f6e7697@banknota-noun-1	Книжен знак с определена стойност, издаден от емисионна банка, който служи като парично средство.
банков	ADJ	6078f0e081aae24f7f6e7699@bankov-adj-1	Който се отнася до финансовата институция банка.
банкрутиране	NOUN	6078f0e081aae24f7f6e769c@bankrutirane-noun-1	Отгл. същ. от банкрутирам.
бариера	NOUN	6078f0e081aae24f7f6e76bd@bariera-noun-1	Преграда за спиране на движението през железопътна линия или на път.
бариера	NOUN	6078f0e081aae24f7f6e76bd@bariera-noun-2	Място на път, където се спира движението (за проверка на пътници или на стока).
бариера	NOUN	6078f0e081aae24f7f6e76bd@bariera-noun-3	Препятствие за прескачане при надбягвания.
бариера	NOUN	6078f0e081aae24f7f6e76bd@bariera-noun-4	Преграда, препятствие.
баркод	NOUN	6078f0e081aae24f7f6e76ca@barkod-noun-1	Код, състоящ се от цифри и вертикални щрихи, който се нанася върху опаковката на стока или др. за отбелязване и автоматично разчитане на информация.
барок	NOUN	6078f0e081aae24f7f6e76cb@barok-noun-1	Художествен стил, предимно в архитектурата от ХVI — ХVIII в., характерен по богатството на декоративни детайли, по грандиозност и масивност на формите.
баронет	NOUN	6078f0e081aae24f7f6e76d1@baronet-noun-1	Аристократична титла във Великобритания, по-ниска от барон, преходна степен между низшата и висшата аристокрация.
баронет	NOUN	6078f0e081aae24f7f6e76d1@baronet-noun-2	Лице, което носи такава титла.
барут	NOUN	61b917b8e5ae474692c4c0eb@barut-noun-1	Избухливо вещество на зърна, плочки и др., което се употребява за пълнене на снаряди, патрони и др.
