lemma	upos	sense_id	definition
XML	NOUN	607b807f35d80a3e2a6e7390@_21096928	programmeringssprog der bruges til at opmærke et e ...
abbed	NOUN	607b807f35d80a3e2a6e739b@_21000036	mandlig forstander for et munkekloster
absolut	ADJ	607b807f35d80a3e2a6e73c2@_21000112	som er uden indskrænkning, forbehold el. konkurren ...
abstrakt	ADJ	607b807f35d80a3e2a6e73cd@_21000135	begrebslig el. tænkt, uden forbindelse med (den hå ...
abstrakt	ADJ	607b807f35d80a3e2a6e73cd@_21000136	som i form, farve, komposition e.l. ikke ligner (d ...
acceleration	NOUN	607b807f35d80a3e2a6e73d6@_21000150	ændring i hastighed pr. tidsenhed
acceleration	NOUN	607b807f35d80a3e2a6e73d6@_21000149	(gradvis) forøgelse af hastighed
acceptere	VERB	607b807f35d80a3e2a6e73e1@_21000176	sige ja til fx en invitation
acceptere	VERB	607b807f35d80a3e2a6e73e1@_21000173	gå ind for; gå med til; sige ja til
acceptere	VERB	607b807f35d80a3e2a6e73e1@_21000175	være tilfreds med; affinde sig med (trods evt. dår ...
acetone	NOUN	607b807f35d80a3e2a6e73e8@_21000183	farveløs, letantændelig væske som er en organisk f ...
adel	NOUN	607b807f35d80a3e2a6e73f7@_21000228	samfundsklasse bestående af personer som har meget ...
adfærdsmønster	NOUN	607b807f35d80a3e2a6e740a@_21000242	karakteristisk og målrettet måde at opføre sig på  ...
adgang	NOUN	607b807f35d80a3e2a6e740f@_21000247	sted hvorfra det er muligt at komme til et andet s ...
adgang	NOUN	607b807f35d80a3e2a6e740f@_21000246	mulighed for el. ret til at komme et sted hen
adgang	NOUN	607b807f35d80a3e2a6e740f@_21000248	mulighed for el. ret til at få fat i noget el. opn ...
administration	NOUN	607b807f35d80a3e2a6e7425@_21000280	afdeling el. personale der udfører administrativt  ...
administration	NOUN	607b807f35d80a3e2a6e7425@_21000279	det at administrere
administration	NOUN	607b807f35d80a3e2a6e7425@_21000281	en stats, et amts el. en kommunes forvaltende mynd ...
administration	NOUN	607b807f35d80a3e2a6e7425@_21000282	en stats ministre og deres (politisk valgte) embed ...
administrator	NOUN	607b807f35d80a3e2a6e742c@_21000285	person som leder det administrative arbejde et ste ...
administrator	NOUN	607b807f35d80a3e2a6e742c@_21000286	person der administrerer (på et vist niveau)
administrere	VERB	607b807f35d80a3e2a6e742d@_21000287	(på andres vegne) udføre arbejde med at styre peng ...
adrenalin	NOUN	607b807f35d80a3e2a6e7441@_21000307	hormon der dannes i binyrernes marv og udskilles i ...
adskille	VERB	607b807f35d80a3e2a6e744c@_21000320	dele en genstand i enkelte dele
adskille	VERB	607b807f35d80a3e2a6e744c@_21000321	danne skel mellem to ting
adskillig	ADJ	607b807f35d80a3e2a6e744f@_21000332	i temmelig stor mængde
adskillig	ADJ	607b807f35d80a3e2a6e744f@_21000331	af et temmelig stort antal el. omfang
advare	VERB	607b807f35d80a3e2a6e7453@_21000345	give besked om en farlig el. ubehagelig situation; ...
advare	VERB	607b807f35d80a3e2a6e7453@_21000348	gøre en person opmærksom på en risiko el. negative ...
advare	VERB	607b807f35d80a3e2a6e7453@_21000346	gøre en person opmærksom på faren ved at gøre noge ...
advare	VERB	607b807f35d80a3e2a6e7453@_21000347	gøre en person opmærksom på noget ubehageligt der  ...
afbryde	VERB	607b807f35d80a3e2a6e748f@_21000461	sætte et apparat el. en elektrisk belysning ud af  ...
afbryde	VERB	607b807f35d80a3e2a6e748f@_21000459	få til at ophøre (for kortere el. længere tid)
afbryde	VERB	607b807f35d80a3e2a6e748f@_21000460	standse en anden persons talestrøm el. aktivitet ( ...
afdeling	NOUN	607b807f35d80a3e2a6e749b@_21000480	personerne i en organisatorisk del af et større he ...
afdeling	NOUN	607b807f35d80a3e2a6e749b@_21000481	del af et forløb el. en proces
afdeling	NOUN	607b807f35d80a3e2a6e749b@_21000483	afgrænset fysisk el. abstrakt (ansvars)område
afdeling	NOUN	607b807f35d80a3e2a6e749b@_21000482	enhed på bataljonsniveau, især inden for artilleri ...
affald	NOUN	607b807f35d80a3e2a6e74b0@_21000514	materiale el. ting som er smidt væk, kasseret el.  ...
affald	NOUN	607b807f35d80a3e2a6e74b0@_21000515	menneske(r) som ikke kan el. vil fungere på samfun ...
affyre	VERB	607b807f35d80a3e2a6e74db@_21000563	bevirke at et projektil afskydes el. udsendes
affyre	VERB	607b807f35d80a3e2a6e74db@_21000564	ytre på en kontant, barsk el. hurtig måde
afføring	NOUN	607b807f35d80a3e2a6e74e0@_21000579	affaldsstoffer fra fordøjelsen der udtømmes gennem ...
afføring	NOUN	607b807f35d80a3e2a6e74e0@_21000580	det at affaldsstofferne udtømmes gennem endetarmen
afgive	VERB	607b807f35d80a3e2a6e74f8@_21000623	danne og give fra sig til omgivelserne efter natur ...
afgive	VERB	607b807f35d80a3e2a6e74f8@_21000621	give fra sig; aflevere
afgive	VERB	607b807f35d80a3e2a6e74f8@_21000624	mere el. mindre modvilligt overlade andre noget ma ...
afgive	VERB	607b807f35d80a3e2a6e74f8@_21000622	fremkomme med en (ofte juridisk gældende) skriftli ...
afgørende	ADJ	607b807f35d80a3e2a6e750c@_21000663	meget væsentlig, evt. udslagsgivende
afhjælpe	VERB	607b807f35d80a3e2a6e7510@_21000678	bevirke at noget ubehageligt mindskes el. forsvind ...
afholde	VERB	607b807f35d80a3e2a6e7511@_21000680	organisere og lade finde sted
afholde	VERB	607b807f35d80a3e2a6e7511@_21000681	betale en udgift
afhængig	ADJ	607b807f35d80a3e2a6e751c@_21000696	som har meget brug for el. ikke kan undvære noget  ...
afhængig	ADJ	607b807f35d80a3e2a6e751c@_21000698	fysisk tilvænnet et vanedannende stof i sådan en g ...
afklare	VERB	607b807f35d80a3e2a6e752b@_21000728	bringe klarhed over sine følelser, ofte ved at bea ...
aflede	VERB	607b807f35d80a3e2a6e7543@_21000782	danne et nyt ord af en anden ord- el. rodform, isæ ...
aflede	VERB	607b807f35d80a3e2a6e7543@_21000783	frembringe et kemisk stof på grundlag af et andet
aflede	VERB	607b807f35d80a3e2a6e7543@_21000780	danne ud fra noget allerede eksisterende
aflede	VERB	607b807f35d80a3e2a6e7543@_21000781	lede væk; få til at ændre retning
afledning	NOUN	607b807f35d80a3e2a6e7544@_21000787	dannelse af et nyt ord ud fra en eksisterende ord- ...
aflyse	VERB	607b807f35d80a3e2a6e7553@_21000815	beslutte og meddele (offentligt) at noget planlagt ...
afprøve	VERB	607b807f35d80a3e2a6e7582@_21000907	underkaste noget en prøve
afskaffe	VERB	607b807f35d80a3e2a6e75a6@_21000988	få til at ophøre med at eksistere; fjerne el. ophæ ...
afskedige	VERB	607b807f35d80a3e2a6e75aa@_21001002	meddele en ansat at vedkommende ikke længere kan f ...
afslutning	NOUN	607b807f35d80a3e2a6e75d7@_21001062	den sidste del af en tekst, fx en roman, fortællin ...
afslutning	NOUN	607b807f35d80a3e2a6e75d7@_21001060	den sidste del af et forløb
afslutning	NOUN	607b807f35d80a3e2a6e75d7@_21001059	det at noget slutter el. afsluttes; det tidspunkt  ...
afslutning	NOUN	607b807f35d80a3e2a6e75d7@_21001063	skud på mål som sidste del af et angreb
afslutning	NOUN	607b807f35d80a3e2a6e75d7@_21001061	sammenkomst i forb. med at et (skole)forløb slutte ...
afslutte	VERB	607b807f35d80a3e2a6e75dc@_21001068	gøre et (længerevarende) forløb færdigt, ofte ved  ...
afslutte	VERB	607b807f35d80a3e2a6e75dc@_21001069	anbringe den yderste, afgrænsende del af noget
afsløre	VERB	607b807f35d80a3e2a6e75df@_21001078	opdage at nogen har begået en (kriminel el. uhæder ...
afsløre	VERB	607b807f35d80a3e2a6e75df@_21001080	fjerne dækket fra en skulptur, en statue, et nyops ...
afsløre	VERB	607b807f35d80a3e2a6e75df@_21001084	gøre synlig ved at fjerne dækkende påklædning
afsløre	VERB	607b807f35d80a3e2a6e75df@_21001079	undersøge og derefter omtale forhold der hidtil ha ...
afsmag	NOUN	607b807f35d80a3e2a6e75e1@_21001096	præg af noget ubehageligt
afsnit	NOUN	607b807f35d80a3e2a6e75e3@_21001105	mindre, form- og indholdsmæssigt afgrænset del af  ...
afsnit	NOUN	607b807f35d80a3e2a6e75e3@_21001107	afgrænset del af en bygnings indre el. af et størr ...
afsnit	NOUN	607b807f35d80a3e2a6e75e3@_21001109	afgrænset del af et større hele der kan være defin ...
afsnit	NOUN	607b807f35d80a3e2a6e75e3@_21001108	periode betragtet som del af et større tidsrum
afsnit	NOUN	607b807f35d80a3e2a6e75e3@_21001106	afrundet del af en tv- el. radioserie eller af en  ...
afstand	NOUN	607b807f35d80a3e2a6e75f9@_21001145	rumlig udstrækning der adskiller to punkter, linje ...
afstand	NOUN	607b807f35d80a3e2a6e75f9@_21001146	tidsmæssig udstrækning der adskiller to begivenhed ...
afstand	NOUN	607b807f35d80a3e2a6e75f9@_21001148	forskel el. modsætningsforhold mellem to parter el ...
afstand	NOUN	607b807f35d80a3e2a6e75f9@_21001147	mangel på fortrolighed, kontakt el. personligt eng ...
afstemning	NOUN	607b807f35d80a3e2a6e75fe@_21001163	det at en gruppe personer stemmer om noget, hvorve ...
afstå	VERB	607b807f35d80a3e2a6e760c@_21001189	beslutte at undlade en handling; opgive et forehav ...
afstå	VERB	607b807f35d80a3e2a6e760c@_21001190	(modvilligt) overdrage noget man ejer, til andre
aftage	VERB	607b807f35d80a3e2a6e7622@_21001224	blive mindre; blive svagere
aftage	VERB	607b807f35d80a3e2a6e7622@_21001226	fjerne noget fra det sted det har været et stykke  ...
aftage	VERB	607b807f35d80a3e2a6e7622@_21001225	købe en vare der produceres
aftale	NOUN	607b807f35d80a3e2a6e7627@_21001234	ordning som to el. flere parter er blevet enige om ...
aftale	NOUN	607b807f35d80a3e2a6e7627@_21001236	arrangement om at mødes
aftale	NOUN	607b807f35d80a3e2a6e7627@_21001235	politisk el. økonomisk ordning som er godkendt af  ...
aftale	VERB	607b807f35d80a3e2a6e7628@_21001238	fastsætte (efter forhandling) en politisk el. økon ...
aftale	VERB	607b807f35d80a3e2a6e7628@_21001237	blive enige om; gensidigt love hinanden
aften	NOUN	607b807f35d80a3e2a6e762d@_21001257	den del af døgnet der varer fra kl. ca. 18 til kl. ...
aften	NOUN	607b807f35d80a3e2a6e762d@_21001258	den del af døgnet som danner overgang mellem dag o ...
afvise	VERB	607b807f35d80a3e2a6e7673@_21001377	hindre i at trænge ind; spærre for
afvise	VERB	607b807f35d80a3e2a6e7673@_21001375	sige at noget ikke er rigtigt
afvise	VERB	607b807f35d80a3e2a6e7673@_21001373	nægte at anerkende el. godkende
afvise	VERB	607b807f35d80a3e2a6e7673@_21001374	nægte at give adgang
afvæbne	VERB	607b807f35d80a3e2a6e7679@_21001384	fjerne alle våben fra; gøre våbenløs
afvæbne	VERB	607b807f35d80a3e2a6e7679@_21001385	fratage lysten til strid; formilde
agentur	NOUN	607b807f35d80a3e2a6e768a@_21001416	institution oprettet af en overnational (politisk  ...
agentur	NOUN	607b807f35d80a3e2a6e768a@_21001415	selvstændig virksomhed der på vegne af andre virks ...
agerjord	NOUN	607b807f35d80a3e2a6e7691@_21001425	jordstykke der bruges til dyrkning
agerjord	NOUN	607b807f35d80a3e2a6e7691@_21001424	jord der bruges til dyrkning af afgrøder
aggressiv	ADJ	607b807f35d80a3e2a6e769d@_21001441	som i ord el. handling giver åbent udtryk for en f ...
akademi	NOUN	607b807f35d80a3e2a6e76d7@_21001543	institution el. sammenslutning der består af viden ...
akademi	NOUN	607b807f35d80a3e2a6e76d7@_21001542	højere læreanstalt hvor der undervises i bestemte  ...
akademi	NOUN	607b807f35d80a3e2a6e76d7@_21001544	højere læreanstalt som uddanner bildende kunstnere
akademisk	ADJ	607b807f35d80a3e2a6e76dd@_21001547	vedr. undervisning, uddannelse og forskning ved hø ...
akt	NOUN	607b807f35d80a3e2a6e76fc@_21001626	(officielt) dokument; aktstykke
akt	NOUN	607b807f35d80a3e2a6e76fc@_21001625	afrundet, større del af et skuespil, en opera, en  ...
akt	NOUN	607b807f35d80a3e2a6e76fc@_21001627	(højtidelig) handling; ceremoni
akt	NOUN	607b807f35d80a3e2a6e76fc@_21001629	samleje
aktie	NOUN	607b807f35d80a3e2a6e76fe@_91000145	papir som dokumenterer ejerskabet til en andel i e ...
aktie	NOUN	607b807f35d80a3e2a6e76fe@_21001631	andel i et aktieselskabs formue som frit kan handl ...
aktion	NOUN	607b807f35d80a3e2a6e7711@_21001653	organiseret handling el. virksomhed der har som fo ...
aktion	NOUN	607b807f35d80a3e2a6e7711@_21001654	kraft hvormed et legeme påvirker et andet legeme
aktiv	ADJ	607b807f35d80a3e2a6e771d@_21001666	som handler energisk; som er en virksom deltager i ...
aktiv	ADJ	607b807f35d80a3e2a6e771d@_21001667	vedr. den form af verbet der optræder i sætninger  ...
aktivering	NOUN	607b807f35d80a3e2a6e7723@_21001678	det at aktivere nogen el. noget
aktivist	NOUN	607b807f35d80a3e2a6e7727@_21001683	person der er aktiv på et eller andet område
aktivist	NOUN	607b807f35d80a3e2a6e7727@_21001682	medlem af en bevægelse der forsøger at fremme sin  ...
aktivitet	NOUN	607b807f35d80a3e2a6e7729@_21001689	det at noget er i funktion
aktivitet	NOUN	607b807f35d80a3e2a6e7729@_21001686	bestemt slags handlinger el. virksomhed som nogen  ...
aktivitet	NOUN	607b807f35d80a3e2a6e7729@_21001688	det at nogen er (travlt) beskæftiget med noget
aktivitet	NOUN	607b807f35d80a3e2a6e7729@_21001687	bestemt slags handlinger el. virksomhed som man ka ...
aktivitetsområde	NOUN	607b807f35d80a3e2a6e772f@_22000759	{hyponymOf: område}
aktuel	ADJ	607b807f35d80a3e2a6e7739@_21001704	som har interesse el. betydning på det givne tidsp ...
aktør	NOUN	607b807f35d80a3e2a6e773a@_21001707	person som er aktiv deltager i en bestemt sammenhæ ...
aktør	NOUN	607b807f35d80a3e2a6e773a@_21001708	person der optræder for et publikum, fx på et teat ...
akut	ADJ	607b807f35d80a3e2a6e7741@_21001718	pludseligt opstået og med behov for hurtige og eff ...
album	NOUN	607b807f35d80a3e2a6e775f@_21001808	bog el. hæfte til opbevaring af en samling af fx f ...
album	NOUN	607b807f35d80a3e2a6e775f@_21001809	musikudgivelse i form af en el. flere cd'er el. lp ...
alder	NOUN	607b807f35d80a3e2a6e7764@_21001818	den periode nogen el. noget har eksisteret
alder	NOUN	607b807f35d80a3e2a6e7764@_21001819	periode i historien med særlige kendetegn
alder	NOUN	607b807f35d80a3e2a6e7764@_21001820	afsnit af et menneskes levetid
alderdom	NOUN	607b807f35d80a3e2a6e7765@_21001833	den del af livet hvor man er blevet gammel
aldersgruppe	NOUN	607b807f35d80a3e2a6e776d@_21001846	gruppe mennesker der har omtrent samme alder
alene	ADJ	607b807f35d80a3e2a6e7775@_21001875	uden tilstedeværelse el. involvering af andre el.  ...
alfabet	NOUN	607b807f35d80a3e2a6e777e@_21001897	hele rækken af bogstaver i et sprog, ordnet i en b ...
algebra	NOUN	607b807f35d80a3e2a6e778c@_21001916	disciplin inden for matematikken hvor man i stedet ...
alkalimetal	NOUN	607b807f35d80a3e2a6e779a@_21001931	grundstof fra 1. hovedgruppe i det periodiske syst ...
alkohol	NOUN	607b807f35d80a3e2a6e779e@_21001936	farveløs, letantændelig væske som er en organisk f ...
alkohol	NOUN	607b807f35d80a3e2a6e779e@_21001938	enhver organisk forbindelse af typen alifatisk hyd ...
alkohol	NOUN	607b807f35d80a3e2a6e779e@_21001937	drik der indeholder stoffet alkohol og virker beru ...
alkoholindhold	NOUN	607b807f35d80a3e2a6e77a7@_22000825	{hyponymOf: indhold}
allergisk	ADJ	607b807f35d80a3e2a6e77c1@_21001997	vedr. allergi
alliance	NOUN	607b807f35d80a3e2a6e77ca@_21002023	sammenslutning der er resultatet af en sådan aftal ...
alliance	NOUN	607b807f35d80a3e2a6e77ca@_21002022	aftale om organiseret samarbejde mellem to el. fle ...
almenvel	NOUN	607b807f35d80a3e2a6e77df@_21002076	god tilstand, fx mht. velfærd og trivsel, for alle ...
almindelig	ADJ	607b807f35d80a3e2a6e77e1@_21002078	som ikke adskiller sig fra gennemsnittet; uden bem ...
almindelighed	NOUN	607b807f35d80a3e2a6e77e6@_21002085	noget der ikke adskiller sig fra gennemsnittet
almindelighed	NOUN	607b807f35d80a3e2a6e77e6@_21002086	ligegyldig og intetsigende udtalelse
alternativ	NOUN	607b807f35d80a3e2a6e780f@_21002148	én af to el. evt. flere muligheder der gensidigt u ...
altervin	NOUN	607b807f35d80a3e2a6e7815@_21002154	vin der sammen med en oblat bydes til menigheden v ...
aluminium	NOUN	607b807f35d80a3e2a6e7821@_21002204	grundstof nr. 13
aluminium	NOUN	607b807f35d80a3e2a6e7821@_21002203	sølvhvidt, let og stærkt metal der kemisk er nogen ...
alvorlig	ADJ	607b807f35d80a3e2a6e7829@_21002226	bekymrende; kritisk; farlig
alvorlig	ADJ	607b807f35d80a3e2a6e7829@_21002227	præget af en livsindstilling el. holdning som er b ...
alvorlig	ADJ	607b807f35d80a3e2a6e7829@_21002229	stor; stærk; omfattende
ambition	NOUN	607b807f35d80a3e2a6e7852@_21002273	stærkt, ofte vedholdende ønske om at opnå noget at ...
amerikaner	NOUN	607b807f35d80a3e2a6e785f@_21002298	stor vaffelis med flødebolle og evt. syltetøj
amerikaner	NOUN	607b807f35d80a3e2a6e785f@_21002296	person fra USA
amerikaner	NOUN	607b807f35d80a3e2a6e785f@_21002297	person fra Nord- el. Sydamerika
amerikansk	ADJ	607b807f35d80a3e2a6e7862@_21002303	fra USA; vedr. og karakteristisk for USA og dets i ...
amfetamin	NOUN	607b807f35d80a3e2a6e7867@_21002308	syntetisk, vanedannende stof med stærkt stimuleren ...
aminosyre	NOUN	607b807f35d80a3e2a6e7871@_21002319	enhver organisk forbindelse der indeholder mindst  ...
ammoniak	NOUN	607b807f35d80a3e2a6e787b@_21002328	farveløs, giftig luftart med stærk og ubehagelig l ...
amt	NOUN	607b807f35d80a3e2a6e7891@_21002372	regional politisk og administrativ enhed bestående ...
analyse	NOUN	607b807f35d80a3e2a6e78b9@_91000218	retning inden for psykologi der bl.a. har udviklet ...
analyse	NOUN	607b807f35d80a3e2a6e78b9@_21002430	nøje undersøgelse og bestemmelse af en sammensat h ...
analyse	NOUN	607b807f35d80a3e2a6e78b9@_21002431	opløsning af et materiale i dets bestanddele for a ...
analysere	VERB	607b807f35d80a3e2a6e78be@_21002433	foretage en analyse af
anarkist	NOUN	607b807f35d80a3e2a6e78c8@_21002444	person som går ind for anarki; tilhænger af anarki ...
anbefale	VERB	607b807f35d80a3e2a6e78ce@_21002452	foreslå (brugen af el. udførelsen af) noget idet m ...
andel	NOUN	607b807f35d80a3e2a6e78e4@_21002490	inddragelse, medvirken el. delagtighed i en sag, m ...
andel	NOUN	607b807f35d80a3e2a6e78e4@_21002491	indskud el. anden (økonomisk) part i et foretagend ...
andel	NOUN	607b807f35d80a3e2a6e78e4@_21002489	del, part el. udsnit af en bestemt mængde el. gens ...
anderledes	ADJ	607b807f35d80a3e2a6e790b@_21002538	som adskiller sig fra noget andet ved hverken at l ...
anerkende	VERB	607b807f35d80a3e2a6e7922@_21002586	udtrykke tilfredshed med og respekt for
anerkende	VERB	607b807f35d80a3e2a6e7922@_21002587	bekræfte modtagelsen af et (officielt) brev, dokum ...
anerkende	VERB	607b807f35d80a3e2a6e7922@_21002589	erklære sin folkeretlige accept af en ny stat
anerkendelse	NOUN	607b807f35d80a3e2a6e7923@_21002591	formel godkendelse; accept af noget som værende ju ...
anerkendelse	NOUN	607b807f35d80a3e2a6e7923@_21002590	ros; påskønnelse
anfald	NOUN	607b807f35d80a3e2a6e7927@_21002595	pludseligt (kortvarigt) udbrud af sygdom el. sygdo ...
anfald	NOUN	607b807f35d80a3e2a6e7927@_21002596	pludselig (kortvarig) indtræden af en voldsom sind ...
anføre	VERB	607b807f35d80a3e2a6e792e@_21002608	give en skriftlig oplysning, fx på et skema el. i  ...
anføre	VERB	607b807f35d80a3e2a6e792e@_21002610	fremføre skriftligt el. mundtligt som argument el. ...
angive	VERB	607b807f35d80a3e2a6e7939@_21002625	oplyse el. meddele skriftligt el. mundtligt
angive	VERB	607b807f35d80a3e2a6e7939@_21002626	give en myndighed oplysning om hvem der har begået ...
angive	VERB	607b807f35d80a3e2a6e7939@_21002627	vise; markere
angreb	NOUN	607b807f35d80a3e2a6e7947@_21002656	den del af et sportshold der især har til opgave a ...
angreb	NOUN	607b807f35d80a3e2a6e7947@_21002653	fysisk overfald på nogen el. noget for at skade
angreb	NOUN	607b807f35d80a3e2a6e7947@_21002658	kritisk el. negativ ytring om nogen el. noget
angribe	VERB	607b807f35d80a3e2a6e7952@_21002668	forårsage skadelig el. nedbrydende virkning på nog ...
angribe	VERB	607b807f35d80a3e2a6e7952@_21002667	foretage et fysisk overfald
angribe	VERB	607b807f35d80a3e2a6e7952@_21002671	ytre sig kritisk el. negativt om nogen el. noget
angriber	NOUN	607b807f35d80a3e2a6e7953@_21002673	spiller på et sportshold som især har til opgave a ...
angriber	NOUN	607b807f35d80a3e2a6e7953@_21002674	angribende person el. militær enhed
angst	NOUN	607b807f35d80a3e2a6e7954@_21002675	(vedvarende) ubehagelig, negativ følelse ved tanke ...
anholde	VERB	607b807f35d80a3e2a6e795b@_21002689	protestere over for en persons udtalelse
animation	NOUN	607b807f35d80a3e2a6e7960@_21002698	teknik til at få dukker, tegnede figurer el. compu ...
animation	NOUN	607b807f35d80a3e2a6e7960@_21002699	film el. sekvens lavet vha. denne teknik
ankomme	VERB	607b807f35d80a3e2a6e7980@_21002752	komme til et bestemt sted efter at have tilbagelag ...
ankomst	NOUN	607b807f35d80a3e2a6e7981@_21002753	det at en person el. et transportmiddel ankommer t ...
anledning	NOUN	607b807f35d80a3e2a6e7985@_21002760	(ydre) årsag til at noget sker
anledning	NOUN	607b807f35d80a3e2a6e7985@_21002762	festlig lejlighed; særlig lejlighed
anledning	NOUN	607b807f35d80a3e2a6e7985@_21002761	gunstig el. passende ydre omstændighed der kan udn ...
anliggende	NOUN	607b807f35d80a3e2a6e7986@_21002764	sag el. forhold der vedrører en bestemt person el. ...
anliggende	NOUN	607b807f35d80a3e2a6e7986@_21002765	sag som man ønsker at fremme, fx ved at meddele si ...
anliggende	NOUN	607b807f35d80a3e2a6e7986@_21002766	sag el. forhold der drejer sig om et bestemt (ofte ...
anmelde	VERB	607b807f35d80a3e2a6e799a@_21002802	udarbejde og offentliggøre en kritisk vurderende o ...
anmelde	VERB	607b807f35d80a3e2a6e799a@_21002801	give formel besked på rette sted
anmelde	VERB	607b807f35d80a3e2a6e799a@_21002804	give (officiel) besked om en forestående begivenhe ...
anmeldelse	NOUN	607b807f35d80a3e2a6e799b@_21002807	formel indberetning af visse forhold til en myndig ...
anmeldelse	NOUN	607b807f35d80a3e2a6e799b@_21002806	kritisk vurderende omtale af en aktuel bog, film,  ...
anmodning	NOUN	607b807f35d80a3e2a6e79a3@_21002817	(skriftlig) meddelelse hvorved nogen anmoder om no ...
anmodning	NOUN	607b807f35d80a3e2a6e79a3@_21002816	det at anmode nogen om noget
annonce	NOUN	607b807f35d80a3e2a6e79aa@_21002832	meddelelse el. reklame der mod betaling er offentl ...
annoncere	VERB	607b807f35d80a3e2a6e79ae@_21002835	indrykke annoncer i aviser, på tv e.l.
annoncere	VERB	607b807f35d80a3e2a6e79ae@_21002834	meddele i forvejen
annoncering	NOUN	607b807f35d80a3e2a6e79af@_21002837	det at indrykke annoncer i aviser, på tv e.l.
annoncering	NOUN	607b807f35d80a3e2a6e79af@_21002838	det at meddele noget i forvejen
anonym	ADJ	607b807f35d80a3e2a6e79b9@_21002852	uden kendt navn el. identitet; uden afsender el. f ...
anse	VERB	607b807f35d80a3e2a6e79cb@_21002885	have som (begrundet) mening om el. opfattelse af ( ...
anslå	VERB	607b807f35d80a3e2a6e79e6@_21002951	skabe en bestemt stemning
anslå	VERB	607b807f35d80a3e2a6e79e6@_21002950	få et musikinstrument til at klinge ved at slå, kn ...
anslå	VERB	607b807f35d80a3e2a6e79e6@_21002949	fastsætte en omtrentlig talstørrelse el. værdi for ...
anslå	VERB	607b807f35d80a3e2a6e79e6@_21002953	påvirke et atom el. molekyle sådan at det bringes  ...
anspændt	ADJ	607b807f35d80a3e2a6e79e9@_21002958	præget af uoverensstemmelse el. krise
anspændt	ADJ	607b807f35d80a3e2a6e79e9@_21002957	bekymret el. nervøs og derfor ude af stand til at  ...
ansvar	NOUN	607b807f35d80a3e2a6e79f8@_21002990	juridisk el. moralsk forpligtelse til at stå til r ...
ansvarlig	ADJ	607b807f35d80a3e2a6e79f9@_21002995	som har ansvar for en bestemt aktivitet (el. perso ...
ansvarsområde	NOUN	607b807f35d80a3e2a6e79fe@_21003012	(arbejds)område som man har ansvar for
ansætte	VERB	607b807f35d80a3e2a6e79ff@_21003013	indgå en aftale med nogen om at vedkommende mod be ...
ansættelse	NOUN	607b807f35d80a3e2a6e7a00@_21003015	det at ansætte nogen; det at blive el. være ansat
ansøge	VERB	607b807f35d80a3e2a6e7a08@_21003022	formelt og oftest skriftligt udtrykke et ønske om  ...
antage	VERB	607b807f35d80a3e2a6e7a12@_21003032	anse for sandsynligt
antage	VERB	607b807f35d80a3e2a6e7a12@_21003035	gå ud fra; forudsætte
antage	VERB	607b807f35d80a3e2a6e7a12@_21003036	(fejlagtigt) anse for at være
antagelse	NOUN	607b807f35d80a3e2a6e7a13@_21003043	opfattelse af el. formodning om hvordan noget forh ...
antal	NOUN	607b807f35d80a3e2a6e7a15@_21003049	mængde af individer, genstande osv. der tænkes på  ...
antal	NOUN	607b807f35d80a3e2a6e7a15@_21003050	ubestemt mængde
